"Date","VALF","VIRG251LF","BLAC951LF","CHAR851LF","HARR551LF","LYNC351LF","RICH051LF","ROAN251LF","WINC051LF","WASH911LF"
"05/01/2008","4122640","828218","87056","114908","64963","124292","628002","158007","65082","3055058"
"06/01/2008","4129250","830353","87790","114798","65181","124933","628941","158070","65157","3059163"
"07/01/2008","4134834","831904","88126","114770","65336","125453","630452","158033","65278","3066433"
"08/01/2008","4139015","831816","88430","114732","65491","125587","631838","158285","65370","3071786"
"09/01/2008","4141675","830736","88848","114875","65637","125697","633851","158676","65430","3074211"
"10/01/2008","4142989","829581","89125","115103","65599","125981","635562","158862","65591","3075093"
"11/01/2008","4142874","827078","89427","114983","65557","126077","635000","158568","65798","3073861"
"12/01/2008","4141540","823997","89935","114515","65503","126168","632435","157475","65344","3074409"
"01/01/2009","4139522","821639","86708","114104","65315","123383","629254","157352","64814","3076377"
"02/01/2009","4137662","819378","86948","114175","65045","123141","626817","156817","65143","3075384"
"03/01/2009","4136713","818505","88023","114417","64872","122838","625798","156361","64872","3073058"
"04/01/2009","4136491","819817","87747","114576","64890","122819","625596","156305","64610","3073757"
"05/01/2009","4135733","820566","87621","114605","64920","122871","625215","156480","64397","3075364"
"06/01/2009","4133525","819535","87426","114279","64837","122919","623857","156335","64258","3077355"
"07/01/2009","4129400","817806","87213","113929","64601","122728","621822","155992","64162","3079824"
"08/01/2009","4123739","816172","87193","113581","64389","122403","620630","155714","64098","3077645"
"09/01/2009","4117808","814844","87192","113245","64437","122028","620025","155320","64100","3074161"
"10/01/2009","4112865","813648","86913","113276","64589","121550","619499","154950","64145","3076848"
"11/01/2009","4111226","814211","86659","113074","64685","121323","618785","155225","64158","3081105"
"12/01/2009","4114515","818567","86988","112105","64798","121445","618592","156240","64178","3087045"
"01/01/2010","4122532","822871","87732","110897","62906","124968","620615","157233","64343","3096785"
"02/01/2010","4133299","826163","88203","110378","62939","125338","622830","157777","64516","3107062"
"03/01/2010","4144617","830191","88546","110481","63127","126074","625701","158479","64540","3116228"
"04/01/2010","4154899","834473","88619","110901","63407","126875","629649","159374","65590","3154334"
"05/01/2010","4162963","834726","88481","111287","63547","126842","630594","159797","65522","3153776"
"06/01/2010","4168127","833658","88429","111470","63560","126305","629165","159841","65441","3158649"
"07/01/2010","4170883","835688","88503","111531","63601","126212","629235","159641","65524","3167151"
"08/01/2010","4172767","838759","88637","111507","63712","126611","631378","159432","65726","3171024"
"09/01/2010","4174818","838938","88760","111267","63765","126842","631887","159434","65836","3168400"
"10/01/2010","4177992","836954","88997","111048","63864","126757","630289","159455","65913","3165638"
"11/01/2010","4182186","836233","89278","111077","64060","126663","630166","159404","66051","3169228"
"12/01/2010","4186545","835474","89308","111404","64316","126489","631278","159338","66173","3175017"
"01/01/2011","4191789","833358","89156","111813","64684","126371","632072","159284","66271","3178206"
"02/01/2011","4195071","833031","89120","111956","64992","126529","632835","159225","66370","3181662"
"03/01/2011","4197328","834953","89328","111812","65171","126393","633878","159139","66542","3187194"
"04/01/2011","4199150","836316","89519","111615","65249","125736","634506","159002","66811","3190584"
"05/01/2011","4201932","837075","89590","111886","65202","125172","633894","159110","67007","3190415"
"06/01/2011","4206630","838420","89754","112423","64929","124767","633436","159472","67044","3193361"
"07/01/2011","4213386","840859","90094","112684","64653","124850","635259","160007","67069","3200915"
"08/01/2011","4220993","844472","90544","112751","64713","125433","638775","160835","67232","3209207"
"09/01/2011","4227791","846392","90750","113051","64931","125654","641553","161203","67446","3213025"
"10/01/2011","4232476","845204","90630","113642","65203","125617","642794","160905","67583","3211264"
"11/01/2011","4233925","843870","90510","114025","65464","125602","643258","160603","67647","3211213"
"12/01/2011","4232084","842263","90440","113775","65504","125275","642257","160207","67624","3212313"
"01/01/2012","4228835","840249","90413","113217","65355","124761","640593","159769","67545","3213150"
"02/01/2012","4223925","839787","90475","113101","65207","124596","640423","159753","67507","3218223"
"03/01/2012","4219388","838622","90543","112938","65068","124655","640557","159707","67448","3221740"
"04/01/2012","4215379","836591","90663","112511","64972","124738","640614","159461","67341","3222668"
"05/01/2012","4212851","836545","90831","112503","64982","124775","641684","159535","67317","3227989"
"06/01/2012","4212379","837736","90943","112513","64925","124587","642373","159838","67375","3234432"
"07/01/2012","4213941","837505","90958","112157","64787","124366","641945","160054","67409","3237461"
"08/01/2012","4217113","836901","90925","111978","64752","124179","642808","160098","67417","3241943"
"09/01/2012","4221285","839383","90995","112777","64930","124100","644857","160171","67493","3250808"
"10/01/2012","4224852","842024","91045","114054","65158","124057","645028","160096","67602","3256744"
"11/01/2012","4226877","841782","90945","114555","65168","123866","644672","159789","67656","3257428"
"12/01/2012","4227174","841618","90780","114096","65057","123777","645286","159624","67736","3257736"
"01/01/2013","4226059","841829","92528","113210","64931","123833","644995","159580","67787","3257173"
"02/01/2013","4224869","841075","91741","112522","64659","123733","644333","159448","67721","3254729"
"03/01/2013","4225198","840424","91191","112309","64377","123634","644679","159272","67697","3255056"
"04/01/2013","4227877","841065","91153","112545","64252","123967","645652","159410","67812","3260810"
"05/01/2013","4231636","843209","91426","112791","64295","124466","646653","159783","68014","3266182"
"06/01/2013","4235127","845397","91629","112970","64556","124779","647758","160203","68217","3266898"
"07/01/2013","4237439","846122","91596","113252","64804","124796","648816","160577","68316","3264704"
"08/01/2013","4237992","845794","91446","113251","64855","124390","649645","160678","68315","3263224"
"09/01/2013","4237307","844293","91450","113164","64842","123660","650722","160539","68330","3262806"
"10/01/2013","4237101","842848","91506","110982","64841","123188","651758","160371","68365","3260241"
"11/01/2013","4238652","843080","91487","111436","64879","123320","651820","160329","68347","3255575"
"12/01/2013","4242016","844587","91496","112135","64888","123704","652237","160578","68301","3252092"
"01/01/2014","4246259","847413","91654","113296","64834","124197","654064","161099","68331","3254512"
"02/01/2014","4249930","849973","91935","114211","64897","124706","655993","161486","68486","3261424"
"03/01/2014","4251885","850233","91962","114772","64950","124860","657120","161516","68641","3264174"
"04/01/2014","4251597","849019","91611","114988","64816","124606","657521","161279","68677","3264139"
"05/01/2014","4249485","848863","91349","114852","64705","124462","658211","161221","68667","3268502"
"06/01/2014","4246615","849483","91390","114764","64806","124608","658858","161386","68697","3273053"
"07/01/2014","4243235","848931","91504","114995","64989","124620","658852","161357","68741","3273838"
"08/01/2014","4239920","847114","91430","115540","65065","124288","658239","161159","68696","3273217"
"09/01/2014","4236789","845973","91239","115757","65058","124025","657296","160961","68572","3274790"
"10/01/2014","4233555","846079","91059","115415","64878","123937","657263","160743","68454","3278800"
"11/01/2014","4230129","844862","90898","115280","64598","123631","657808","160451","68392","3278437"
"12/01/2014","4227290","843628","90904","115793","64418","123270","658274","160216","68409","3276549"
"01/01/2015","4225190","843947","91077","116573","64386","123161","658803","159981","68489","3279310"
"02/01/2015","4223708","843516","91223","116757","64476","123106","658815","159602","68561","3280393"
"03/01/2015","4222501","842456","91363","116550","64539","123079","658425","159250","68616","3281420"
"04/01/2015","4220891","842307","91645","116348","64589","123319","659003","159164","68693","3288376"
"05/01/2015","4218323","841905","91821","115885","64613","123514","659820","159085","68796","3292777"
"06/01/2015","4214586","839757","91623","115560","64635","123308","659321","158696","68928","3289568"
"07/01/2015","4210876","836958","91348","115682","64643","123069","658961","158332","69054","3285944"
"08/01/2015","4208360","834175","91208","115965","64440","122871","659286","158049","69139","3283600"
"09/01/2015","4207618","833032","91125","115782","64066","122613","661185","157977","69228","3282971"
"10/01/2015","4209006","835416","91148","115442","63703","122540","665487","158449","69328","3289108"
"11/01/2015","4211971","838826","91267","115898","63531","122627","669336","159071","69443","3296985"
"12/01/2015","4214916","840855","91383","116624","63566","122793","671378","159462","69566","3300498"
"01/01/2016","4216790","837451","90538","116656","63006","121754","670865","158976","69502","3308186"
"02/01/2016","4217388","833194","90646","116878","63073","121162","669686","158533","69712","3309876"
"03/01/2016","4217093","835103","90436","116563","62878","120840","670845","158250","69811","3310651"
"04/01/2016","4217342","830315","89855","116129","62813","120718","664367","157565","69623","3301056"
"05/01/2016","4219870","826160","89443","115859","62333","120390","663919","156732","69310","3287104"
"06/01/2016","4225455","827679","89614","116412","62312","120697","666769","156284","69380","3293538"
"07/01/2016","4233579","829955","89882","116910","62649","121074","668692","156818","69654","3288681"
"08/01/2016","4242706","827601","91299","117122","62960","121105","669586","157374","69892","3290718"
"09/01/2016","4251449","827776","90954","117794","63430","120813","669465","157771","70215","3301736"
"10/01/2016","4258723","832722","90899","117920","63128","120999","671399","158561","70429","3328303"
"11/01/2016","4264458","831901","90804","118242","62993","121097","670804","158599","70466","3340797"
"12/01/2016","4268228","835208","91110","118968","63580","122107","673711","159877","70714","3356835"
"01/01/2017","4274272","838921","91324","117312","64546","121924","668458","159491","70234","3359501"
